ticker,name,category
SPY,SPDR S&P 500 ETF Trust,Popular ETFs
QQQ,Invesco QQQ Trust,Popular ETFs
IWM,iShares Russell 2000 ETF,Popular ETFs
DIA,SPDR Dow Jones Industrial Average ETF Trust,Popular ETFs
MDY,SPDR S&P Midcap 400 ETF,Popular ETFs
EEM,iShares MSCI Emerging Markets ETF,Popular ETFs
EFA,iShares MSCI EAFE ETF,Popular ETFs
IVV,iShares Core S&P 500 ETF,Popular ETFs
VTI,Vanguard Total Stock Market Index Fund ETF Shares,Popular ETFs
IJR,iShares Core S&P Small-Cap ETF,Popular ETFs
SSO,ProShares Ultra S&P500,Popular ETFs
TQQQ,ProShares UltraPro QQQ,Popular ETFs
SQQQ,ProShares UltraPro Short QQQ,Popular ETFs
EDC,Direxion Daily MSCI Emerging Markets Bull 3X Shares,Popular ETFs
SPY,SPDR S&P 500 ETF Trust,Index ETFS
QQQ,Invesco QQQ Trust,Index ETFS
IWM,iShares Russell 2000 ETF,Index ETFS
DIA,SPDR Dow Jones Industrial Average ETF Trust,Index ETFS
VTI,Vanguard Total Stock Market Index Fund ETF Shares,Index ETFS
MDY,SPDR S&P Midcap 400 ETF,Index ETFS
DBC,Invesco DB Commodity Index Tracking Fund,Index ETFS
FEZ,SPDR EURO STOXX 50 ETF,Index ETFS
OEF,iShares S&P 100 ETF,Index ETFS
IWF,iShares Russell 1000 Growth ETF,Index ETFS
IWD,iShares Russell 1000 Value ETF,Index ETFS
PFF,iShares Preferred and Income Securities ETF,Index ETFS
VOO,Vanguard S&P 500 ETF,Index ETFS
IJH,iShares Core S&P Mid-Cap ETF,Index ETFS
IWO,iShares Russell 2000 Growth ETF,Index ETFS
IWN,iShares Russell 2000 Value ETF,Index ETFS
ACWI,iShares MSCI ACWI ETF,Index ETFS
IEMG,iShares Core MSCI Emerging Markets ETF,Index ETFS
XLE,Energy Select Sector SPDR Fund,Sector ETFs
XLF,Financial Select Sector SPDR Fund,Sector ETFs
XLU,Utilities Select Sector SPDR Fund,Sector ETFs
XLI,Industrial Select Sector SPDR Fund,Sector ETFs
GDX,VanEck Gold Miners ETF,Sector ETFs
XLK,Technology Select Sector SPDR Fund,Sector ETFs
XLV,Health Care Select Sector SPDR Fund,Sector ETFs
XLY,Consumer Discretionary Select Sector SPDR Fund,Sector ETFs
XLP,Consumer Staples Select Sector SPDR Fund,Sector ETFs
XLB,Materials Select Sector SPDR Fund,Sector ETFs
XOP,Spdr S&P Oil & Gas Exploration & Production Etf,Sector ETFs
IYR,iShares U.S. Real Estate ETF,Sector ETFs
