ticker,name,category
XHB,Spdr S&P Homebuilders Etf,Sector ETFs
ITB,iShares U.S. Home Construction ETF,Sector ETFs
VNQ,Vanguard Real Estate Index Fund ETF Shares,Sector ETFs
GDXJ,VanEck Junior Gold Miners ETF,Sector ETFs
IYE,iShares U.S. Energy ETF,Sector ETFs
OIH,VanEck Oil Services ETF,Sector ETFs
XME,SPDR S&P Metals & Mining ETF,Sector ETFs
XRT,Spdr S&P Retail Etf,Sector ETFs
SMH,VanEck Semiconductor ETF,Sector ETFs
IBB,iShares Biotechnology ETF,Sector ETFs
KBE,SPDR S&P Bank ETF,Sector ETFs
KRE,SPDR S&P Regional Banking ETF,Sector ETFs
XTL,SPDR S&P Telecom ETF,Sector ETFs
EWJ,iShares MSCI Japan ETF,Country ETFs
FXI,iShares China Large-Cap ETF,Country ETFs
EWZ,iShares MSCI Brazil ETF,Country ETFs
EWT,iShares MSCI Taiwan ETF,Country ETFs
DXJ,WisdomTree Japan Hedged Equity Fund,Country ETFs
EWG,iShares MSCI Germany ETF,Country ETFs
EWH,iShares MSCI Hong Kong ETF,Country ETFs
EWI,iShares MSCI Italy ETF,Country ETFs
EWW,iShares MSCI Mexico ETF,Country ETFs
EWU,iShares MSCI United Kingdom ETF,Country ETFs
EPI,WisdomTree India Earnings Fund,Country ETFs
PIN,Invesco India ETF,Country ETFs
IDX,VanEck Indonesia Index ETF,Country ETFs
EWY,iShares MSCI South Korea ETF,Country ETFs
EWA,iShares MSCI Australia ETF,Country ETFs
EWM,iShares MSCI Malaysia ETF,Country ETFs
EWS,iShares MSCI Singapore ETF,Country ETFs
EWC,iShares MSCI Canada ETF,Country ETFs
EWP,iShares MSCI Spain ETF,Country ETFs
EWL,iShares MSCI Switzerland ETF,Country ETFs
EZA,iShares MSCI South Africa ETF,Country ETFs
GLD,SPDR Gold Shares,Commodity ETFs
SLV,iShares Silver Trust,Commodity ETFs
UNG,United States Natural Gas Fund,Commodity ETFs
USO,"United States Oil Fund, LP",Commodity ETFs
IAU,iShares Gold Trust,Commodity ETFs
DBC,Invesco DB Commodity Index Tracking Fund,Commodity ETFs
DBA,Invesco DB Agriculture Fund,Commodity ETFs
CORN,Teucrium Corn Fund,Commodity ETFs
DBB,Invesco DB Base Metals Fund,Commodity ETFs
GSG,iShares S&P GSCI Commodity-Indexed Trust,Commodity ETFs
DBO,Invesco DB Oil Fund,Commodity ETFs
DBE,Invesco DB Energy Fund,Commodity ETFs
USCI,"United States Commodity Index Fund, LP",Commodity ETFs
PALL,abrdn Physical Palladium Shares ETF,Commodity ETFs
SIVR,abrdn Physical Silver Shares ETF,Commodity ETFs
PPLT,abrdn Physical Platinum Shares ETF,Commodity ETFs
URA,Global X Uranium ETF,Commodity ETFs
BNO,"United States Brent Oil Fund, LP",Commodity ETFs
SGOL,abrdn Physical Gold Shares ETF,Commodity ETFs
UGA,"United States Gasoline Fund, LP",Commodity ETFs
UVXY,ProShares Ultra VIX Short-Term Futures ETF,Volatility ETFs
TVIXF,VelocityShares Daily 2x VIX Short-Term ETN,Volatility ETFs
VIXY,ProShares VIX Short-Term Futures ETF,Volatility ETFs
SVXY,ProShares Short VIX Short-Term Futures ETF,Volatility ETFs
SPXL,Direxion Daily S&P 500 Bull 3X Shares,Leveraged ETFs
SPXS,Direxion Daily S&P 500 Bear 3X Shares ETF,Inverse Leveraged ETFs
